ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4463311,32.0,34.0,4.0,70.0,30.0,8.5,0.42857,10
4320409,54.0,35.0,5.0,94.0,30.0,7.0,0.31915,8
4256968,44.0,5.0,37.0,86.0,-32.0,0.13514,-0.37209,1
4442839,25.0,6.0,29.0,60.0,-23.0,0.2069,-0.38333,1
4298941,43.0,30.0,6.0,79.0,24.0,5.0,0.3038,8
4484212,28.0,22.0,2.0,52.0,20.0,11.0,0.38462,9
4362687,28.0,25.0,2.0,55.0,23.0,12.5,0.41818,9
4382898,18.0,24.0,5.0,47.0,19.0,4.8,0.40426,9
4422723,19.0,36.0,1.0,56.0,35.0,36.0,0.625,10
4277843,50.0,36.0,4.0,90.0,32.0,9.0,0.35556,9
4341815,44.0,9.0,23.0,76.0,-14.0,0.3913,-0.18421,1
4402939,21.0,9.0,1.0,31.0,8.0,9.0,0.25806,7
4504852,27.0,4.0,13.0,44.0,-9.0,0.30769,-0.20455,1
4256486,70.0,27.0,8.0,105.0,19.0,3.375,0.18095,5
4443206,57.0,43.0,6.0,106.0,37.0,7.16667,0.34906,8
4340659,48.0,15.0,15.0,78.0,0.0,1.0,0.0,2
4462928,45.0,27.0,11.0,83.0,16.0,2.45455,0.19277,5
4482560,41.0,20.0,6.0,67.0,14.0,3.33333,0.20896,6
4277207,57.0,26.0,12.0,95.0,14.0,2.16667,0.14737,4
4402107,30.0,28.0,2.0,60.0,26.0,14.0,0.43333,10
4363061,48.0,11.0,19.0,78.0,-8.0,0.57895,-0.10256,2
4298304,50.0,15.0,6.0,71.0,9.0,2.5,0.12676,3
4504612,37.0,23.0,4.0,64.0,19.0,5.75,0.29688,7
4422587,43.0,5.0,23.0,71.0,-18.0,0.21739,-0.25352,1
4320648,42.0,18.0,15.0,75.0,3.0,1.2,0.04,2
4381784,36.0,15.0,7.0,58.0,8.0,2.14286,0.13793,4
4482308,31.0,28.0,3.0,62.0,25.0,9.33333,0.40323,9
4441901,47.0,42.0,5.0,94.0,37.0,8.4,0.39362,9
4422230,35.0,32.0,5.0,72.0,27.0,6.4,0.375,9
4401478,38.0,33.0,6.0,77.0,27.0,5.5,0.35065,8
4504834,52.0,11.0,19.0,82.0,-8.0,0.57895,-0.09756,2
4382943,29.0,18.0,3.0,50.0,15.0,6.0,0.3,7
4463261,44.0,6.0,16.0,66.0,-10.0,0.375,-0.15152,2
4362707,37.0,21.0,5.0,63.0,16.0,4.2,0.25397,7
4319666,47.0,20.0,3.0,70.0,17.0,6.66667,0.24286,6
4300690,53.0,30.0,4.0,87.0,26.0,7.5,0.29885,7
4279301,34.0,21.0,2.0,57.0,19.0,10.5,0.33333,8
4258275,38.0,23.0,6.0,67.0,17.0,3.83333,0.25373,7
4341792,35.0,11.0,4.0,50.0,7.0,2.75,0.14,4
4259433,113.0,9.0,29.0,151.0,-20.0,0.31034,-0.13245,2
4324128,125.0,18.0,14.0,157.0,4.0,1.28571,0.02548,2
4424363,86.0,33.0,6.0,125.0,27.0,5.5,0.216,6
4343380,124.0,36.0,18.0,178.0,18.0,2.0,0.10112,3
4280524,120.0,22.0,14.0,156.0,8.0,1.57143,0.05128,3
4505960,90.0,11.0,22.0,123.0,-11.0,0.5,-0.08943,2
4364492,69.0,19.0,7.0,95.0,12.0,2.71429,0.12632,3
4407251,100.0,30.0,6.0,136.0,24.0,5.0,0.17647,5
4444183,89.0,30.0,10.0,129.0,20.0,3.0,0.15504,4
4301305,91.0,15.0,16.0,122.0,-1.0,0.9375,-0.0082,2
4464252,95.0,31.0,9.0,135.0,22.0,3.44444,0.16296,5
4384258,62.0,27.0,1.0,90.0,26.0,27.0,0.28889,7
4486943,64.0,31.0,4.0,99.0,27.0,7.75,0.27273,7
4381794,66.0,8.0,14.0,88.0,-6.0,0.57143,-0.06818,2
4481474,52.0,17.0,7.0,76.0,10.0,2.42857,0.13158,4
4462073,58.0,22.0,9.0,89.0,13.0,2.44444,0.14607,4
4319538,67.0,23.0,12.0,102.0,11.0,1.91667,0.10784,3
4276696,67.0,21.0,9.0,97.0,12.0,2.33333,0.12371,3
4441793,38.0,12.0,4.0,54.0,8.0,3.0,0.14815,4
4401087,63.0,23.0,3.0,89.0,20.0,7.66667,0.22472,6
4300231,34.0,5.0,1.0,40.0,4.0,5.0,0.1,3
4361426,100.0,23.0,19.0,142.0,4.0,1.21053,0.02817,2
4503755,59.0,15.0,7.0,81.0,8.0,2.14286,0.09877,3
4421718,67.0,21.0,6.0,94.0,15.0,3.5,0.15957,5
4256000,80.0,11.0,14.0,105.0,-3.0,0.78571,-0.02857,2
4340682,76.0,11.0,11.0,98.0,0.0,1.0,0.0,2
4365261,68.0,17.0,7.0,92.0,10.0,2.42857,0.1087,3
4445441,36.0,17.0,3.0,56.0,14.0,5.66667,0.25,6
4403836,41.0,6.0,14.0,61.0,-8.0,0.42857,-0.13115,2
4262153,49.0,16.0,17.0,82.0,-1.0,0.94118,-0.0122,2
4425166,44.0,8.0,18.0,70.0,-10.0,0.44444,-0.14286,2
4303830,69.0,20.0,8.0,97.0,12.0,2.5,0.12371,3
4467443,33.0,9.0,0.0,42.0,9.0,inf,0.21429,6
4322069,57.0,8.0,25.0,90.0,-17.0,0.32,-0.18889,1
4283362,45.0,16.0,3.0,64.0,13.0,5.33333,0.20312,6
4385352,28.0,13.0,2.0,43.0,11.0,6.5,0.25581,7
4507323,37.0,10.0,4.0,51.0,6.0,2.5,0.11765,3
4346259,47.0,8.0,25.0,80.0,-17.0,0.32,-0.2125,1
4484024,28.0,4.0,12.0,44.0,-8.0,0.33333,-0.18182,1
4445561,40.0,22.0,8.0,70.0,14.0,2.75,0.2,5
4320314,52.0,25.0,4.0,81.0,21.0,6.25,0.25926,7
4382659,62.0,17.0,5.0,84.0,12.0,3.4,0.14286,4
4300447,80.0,17.0,23.0,120.0,-6.0,0.73913,-0.05,2
4465453,43.0,10.0,21.0,74.0,-11.0,0.47619,-0.14865,2
4484073,59.0,31.0,8.0,98.0,23.0,3.875,0.23469,6
4279647,79.0,27.0,14.0,120.0,13.0,1.92857,0.10833,3
4362514,81.0,14.0,36.0,131.0,-22.0,0.38889,-0.16794,1
4259294,65.0,27.0,22.0,114.0,5.0,1.22727,0.04386,3
4343167,53.0,19.0,8.0,80.0,11.0,2.375,0.1375,4
4403098,33.0,25.0,2.0,60.0,23.0,12.5,0.38333,9
4425130,43.0,28.0,6.0,77.0,22.0,4.66667,0.28571,7
4507516,57.0,25.0,10.0,92.0,15.0,2.5,0.16304,5
4277702,61.0,39.0,10.0,110.0,29.0,3.9,0.26364,7
4341573,88.0,22.0,4.0,114.0,18.0,5.5,0.15789,4
4502789,112.0,60.0,6.0,178.0,54.0,10.0,0.30337,8
4401834,94.0,23.0,5.0,122.0,18.0,4.6,0.14754,4
4257331,101.0,9.0,44.0,154.0,-35.0,0.20455,-0.22727,1
4461196,101.0,31.0,6.0,138.0,25.0,5.16667,0.18116,5
4380763,71.0,28.0,3.0,102.0,25.0,9.33333,0.2451,6
4318656,78.0,30.0,16.0,124.0,14.0,1.875,0.1129,3
4360357,134.0,48.0,19.0,201.0,29.0,2.52632,0.14428,4
4298807,81.0,36.0,6.0,123.0,30.0,6.0,0.2439,6
4440726,99.0,54.0,9.0,162.0,45.0,6.0,0.27778,7
4480643,74.0,4.0,21.0,99.0,-17.0,0.19048,-0.17172,1
4420728,81.0,23.0,6.0,110.0,17.0,3.83333,0.15455,4
4424708,55.0,34.0,9.0,98.0,25.0,3.77778,0.2551,7
4464952,37.0,11.0,4.0,52.0,7.0,2.75,0.13462,4
4301313,40.0,13.0,2.0,55.0,11.0,6.5,0.2,5
4444991,38.0,16.0,0.0,54.0,16.0,inf,0.2963,7
4364771,58.0,37.0,11.0,106.0,26.0,3.36364,0.24528,6
4506846,36.0,27.0,4.0,67.0,23.0,6.75,0.34328,8
4485596,36.0,37.0,4.0,77.0,33.0,9.25,0.42857,10
4404970,59.0,13.0,42.0,114.0,-29.0,0.30952,-0.25439,1
4322046,41.0,13.0,3.0,57.0,10.0,4.33333,0.17544,5
4279695,39.0,21.0,6.0,66.0,15.0,3.5,0.22727,6
4384160,35.0,23.0,11.0,69.0,12.0,2.09091,0.17391,5
4258634,45.0,19.0,4.0,68.0,15.0,4.75,0.22059,6
4343784,86.0,8.0,41.0,135.0,-33.0,0.19512,-0.24444,1
4463265,78.0,14.0,3.0,95.0,11.0,4.66667,0.11579,3
4382923,74.0,20.0,8.0,102.0,12.0,2.5,0.11765,3
4341784,90.0,4.0,21.0,115.0,-17.0,0.19048,-0.14783,2
4280555,67.0,20.0,5.0,92.0,15.0,4.0,0.16304,5
4256935,104.0,30.0,10.0,144.0,20.0,3.0,0.13889,4
4362684,69.0,13.0,4.0,86.0,9.0,3.25,0.10465,3
4482287,110.0,20.0,9.0,139.0,11.0,2.22222,0.07914,3
4442846,71.0,20.0,6.0,97.0,14.0,3.33333,0.14433,4
4320413,65.0,14.0,3.0,82.0,11.0,4.66667,0.13415,4
4301253,69.0,18.0,3.0,90.0,15.0,6.0,0.16667,5
4504759,76.0,18.0,5.0,99.0,13.0,3.6,0.13131,4
4422752,75.0,16.0,1.0,92.0,15.0,16.0,0.16304,5
4401855,83.0,19.0,5.0,107.0,14.0,3.8,0.13084,4
4341127,91.0,38.0,9.0,138.0,29.0,4.22222,0.21014,6
4422057,80.0,44.0,6.0,130.0,38.0,7.33333,0.29231,7
